DateTime,Outdoor_Temperature,DH_Heating_Rate
 01/01 00:15:00,3.315,556.28
 01/01  00:30:00,3.24,541.6
 01/01 00:45:00,3.165,459.45
 01/01  01:00:00,3.09,361.11
 01/01  01:15:00,3.295,254.19
 01/01  01:30:00,3.5,247.39
 01/01  01:45:00,3.705,260.36
 01/01  02:00:00,3.91,259.04
 01/01  02:15:00,4.115,260.36
 01/01  02:30:00,4.32,254.77
 01/01  02:45:00,4.525,257.04
 01/01  03:00:00,4.73,255.43
 01/01  03:15:00,4.935,255.35
 01/01  03:30:00,5.14,252.91
 01/01  03:45:00,5.345,253.31
 01/01  04:00:00,5.55,254.99
 01/01  04:15:00,5.7575,249.88
 01/01  04:30:00,5.965,249.73
 01/01  04:45:00,6.1725,248.1
 01/01  05:00:00,6.38,250.83
 01/01  05:15:00,6.585,245.81
 01/01  05:30:00,6.79,246.32
 01/01  05:45:00,6.995,245.6
 01/01  06:00:00,7.2,244.46
 01/01  06:15:00,7.405,239.65
 01/01  06:30:00,7.61,242.95
 01/01  06:45:00,7.815,238.46
 01/01  07:00:00,8.02,238.08
 01/01  07:15:00,7.31,243.2
 01/01  07:30:00,6.6,250.21
 01/01  07:45:00,5.89,251.91
 01/01  08:00:00,5.18,254.65
 01/01  08:15:00,5.4325,250.89
 01/01  08:30:00,5.685,241.73
 01/01  08:45:00,5.9375,232.02
 01/01  09:00:00,6.19,227.42
 01/01  09:15:00,6.445,227.19
 01/01  09:30:00,6.7,218.41
 01/01  09:45:00,6.955,215.95
 01/01  10:00:00,7.21,210.03
 01/01  10:15:00,7.4625,205.25
 01/01  10:30:00,7.715,200.76
 01/01  10:45:00,7.9675,197.95
 01/01  11:00:00,8.22,191.34
 01/01  11:15:00,8.17,185.58
 01/01  11:30:00,8.12,182.9
 01/01  11:45:00,8.07,180.43
 01/01  12:00:00,8.02,177.39
 01/01  12:15:00,7.97,168.96
 01/01  12:30:00,7.92,163.61
 01/01  12:45:00,7.87,161.54
 01/01  13:00:00,7.82,161.42
 01/01  13:15:00,7.77,162.84
 01/01  13:30:00,7.72,161.99
 01/01  13:45:00,7.67,164.97
 01/01  14:00:00,7.62,168.52
 01/01  14:15:00,7.4625,178.42
 01/01  14:30:00,7.305,189.23
 01/01  14:45:00,7.1475,193.93
 01/01  15:00:00,6.99,196.77
 01/01  15:15:00,6.8325,199.92
 01/01  15:30:00,6.675,204.66
 01/01  15:45:00,6.5175,208.04
 01/01  16:00:00,6.36,206.97
 01/01  16:15:00,6.2025,204.22
 01/01  16:30:00,6.045,203.86
 01/01  16:45:00,5.8875,206.47
 01/01  17:00:00,5.73,206.03
 01/01  17:15:00,5.605,206.73
 01/01  17:30:00,5.48,204.17
 01/01  17:45:00,5.355,207.25
 01/01  18:00:00,5.23,210.13
 01/01  18:15:00,5.1075,206.36
 01/01  18:30:00,4.985,204.59
 01/01  18:45:00,4.8625,206.89
 01/01  19:00:00,4.74,210.53
 01/01  19:15:00,4.615,215.59
 01/01  19:30:00,4.49,220.56
 01/01  19:45:00,4.365,223.14
 01/01  20:00:00,4.24,225.91
 01/01  20:15:00,4.1425,223.99
 01/01  20:30:00,4.045,222.92
 01/01  20:45:00,3.9475,224.69
 01/01  21:00:00,3.85,225.6
 01/01  21:15:00,3.7525,229.2
 01/01  21:30:00,3.655,228.59
 01/01  21:45:00,3.5575,233.58
 01/01  22:00:00,3.46,231.76
 01/01  22:15:00,3.3625,235.42
 01/01  22:30:00,3.265,235.98
 01/01  22:45:00,3.1675,237.64
 01/01  23:00:00,3.07,240.54
 01/01  23:15:00,3.15,241.95
 01/01  23:30:00,3.23,239.52
 01/01  23:45:00,3.31,240.2
 01/01  24:00:00,3.39,240.79
 01/02  00:15:00,3.47,239.42
 01/02  00:30:00,3.55,241.93
 01/02  00:45:00,3.63,240.14
 01/02  01:00:00,3.71,243.5
 01/02  01:15:00,3.79,240.95
 01/02  01:30:00,3.87,240.61
 01/02  01:45:00,3.95,242.03
 01/02  02:00:00,4.03,241.47
 01/02  02:15:00,4.055,242.82
 01/02  02:30:00,4.08,244
 01/02  02:45:00,4.105,242.17
 01/02  03:00:00,4.13,244.95
 01/02  03:15:00,4.1525,243.45
 01/02  03:30:00,4.175,245.16
 01/02  03:45:00,4.1975,247.73
 01/02  04:00:00,4.22,244.3
 01/02  04:15:00,4.245,250.26
 01/02  04:30:00,4.27,243.54
 01/02  04:45:00,4.295,247.96
 01/02  05:00:00,4.32,249.37
 01/02  05:15:00,4.385,245.17
 01/02  05:30:00,4.45,249.06
 01/02  05:45:00,4.515,246.79
 01/02  06:00:00,4.58,248.27
 01/02  06:15:00,4.645,247.78
 01/02  06:30:00,4.71,247.02
 01/02  06:45:00,4.775,246.73
 01/02  07:00:00,4.84,248.45
 01/02  07:15:00,4.905,252.21
 01/02  07:30:00,4.97,251.41
 01/02  07:45:00,5.035,251.61
 01/02  08:00:00,5.1,254.63
 01/02  08:15:00,5.365,249.31
 01/02  08:30:00,5.63,246.31
 01/02  08:45:00,5.895,242.78
 01/02  09:00:00,6.16,235.14
 01/02  09:15:00,6.425,229.93
 01/02  09:30:00,6.69,226.07
 01/02  09:45:00,6.955,225.56
 01/02  10:00:00,7.22,219.86
 01/02  10:15:00,7.485,215.84
 01/02  10:30:00,7.75,213.23
 01/02  10:45:00,8.015,213.02
 01/02  11:00:00,8.28,210.71
 01/02  11:15:00,8.25,215.02
 01/02  11:30:00,8.22,218.62
 01/02  11:45:00,8.19,219.11
 01/02  12:00:00,8.16,218.02
 01/02  12:15:00,8.1275,208.2
 01/02  12:30:00,8.095,204.45
 01/02  12:45:00,8.0625,199.3
 01/02  13:00:00,8.03,200.22
 01/02  13:15:00,8,197.53
 01/02  13:30:00,7.97,195.84
 01/02  13:45:00,7.94,198.8
 01/02  14:00:00,7.91,199.32
 01/02  14:15:00,7.75,208.55
 01/02  14:30:00,7.59,217.87
 01/02  14:45:00,7.43,219.92
 01/02  15:00:00,7.27,220.5
 01/02  15:15:00,7.11,224.76
 01/02  15:30:00,6.95,226.3
 01/02  15:45:00,6.79,224.31
 01/02  16:00:00,6.63,229.04
 01/02  16:15:00,6.47,223.07
 01/02  16:30:00,6.31,219.94
 01/02  16:45:00,6.15,223.07
 01/02  17:00:00,5.99,227.33
 01/02  17:15:00,5.8975,220.23
 01/02  17:30:00,5.805,220.62
 01/02  17:45:00,5.7125,219.42
 01/02  18:00:00,5.62,219.06
 01/02  18:15:00,5.5275,215.37
 01/02  18:30:00,5.435,209.35
 01/02  18:45:00,5.3425,212.74
 01/02  19:00:00,5.25,212.72
 01/02  19:15:00,5.1575,215.41
 01/02  19:30:00,5.065,217.02
 01/02  19:45:00,4.9725,218.85
 01/02  20:00:00,4.88,216.73
 01/02  20:15:00,4.865,216.29
 01/02  20:30:00,4.85,211.64
 01/02  20:45:00,4.835,212.54
 01/02  21:00:00,4.82,211.94
 01/02  21:15:00,4.8025,211.21
 01/02  21:30:00,4.785,210.92
 01/02  21:45:00,4.7675,213.12
 01/02  22:00:00,4.75,212.05
 01/02  22:15:00,4.735,209.77
 01/02  22:30:00,4.72,210.31
 01/02  22:45:00,4.705,210.92
 01/02  23:00:00,4.69,209.92
 01/02  23:15:00,4.78,208.78
 01/02  23:30:00,4.87,209.19
 01/02  23:45:00,4.96,208.68
 01/02  24:00:00,5.05,209.77
 01/03  00:15:00,5.1375,213.35
 01/03  00:30:00,5.225,217.49
 01/03  00:45:00,5.3125,220.25
 01/03  01:00:00,5.4,216.67
 01/03  01:15:00,5.49,217.13
 01/03  01:30:00,5.58,214.98
 01/03  01:45:00,5.67,216.61
 01/03  02:00:00,5.76,216.67
 01/03  02:15:00,5.8625,209.23
 01/03  02:30:00,5.965,202.78
 01/03  02:45:00,6.0675,204.25
 01/03  03:00:00,6.17,206.35
 01/03  03:15:00,6.27,204.41
 01/03  03:30:00,6.37,206.56
 01/03  03:45:00,6.47,206.85
 01/03  04:00:00,6.57,204.95
 01/03  04:15:00,6.6725,205.62
 01/03  04:30:00,6.775,204.9
 01/03  04:45:00,6.8775,205.54
 01/03  05:00:00,6.98,204.45
 01/03  05:15:00,7.0725,204.13
 01/03  05:30:00,7.165,205.27
 01/03  05:45:00,7.2575,204.72
 01/03  06:00:00,7.35,204.58
 01/03  06:15:00,7.4425,205.02
